"CUSTOMER_ID","CONTACT_LAST_NAME","CONTACT_FIRST_NAME","STATE","AGE","MARITAL_STATUS","GENDER","NUMBER_OF_DEPENDENTS","ASSIGNED_RISK_PROFILE_ID","ASSIGNED_RISK_PROFILE","TOTAL_ASSETS"
914,"Kim","Raphael","Texas",34,"Married","Male",5,3,"AVERAGE TOLERANCE",4503562.27
920,"Pearson","Beau","Iowa",34,"Single","Male",5,4,"ABOVE AVG TOLERANCE",3831742.86
924,"Valdez","Ciara","Connecticut",34,"Single","Male",5,4,"ABOVE AVG TOLERANCE",4213000.45
948,"Vincent","Rhoda","Maryland",34,"Married","Female",4,3,"AVERAGE TOLERANCE",7574364.86
962,"Stafford","Adrienne","Maryland",34,"Married","Male",4,3,"AVERAGE TOLERANCE",4084836.19
999,"Nolan","Basia","Nevada",34,"Single","Male",3,4,"ABOVE AVG TOLERANCE",2995442.44
1013,"Baird","Paki","Illinois",34,"Married","Male",2,3,"AVERAGE TOLERANCE",4343852.75
1019,"Church","Karen","Wisconsin",34,"Married","Male",2,3,"AVERAGE TOLERANCE",4261081.82
1039,"Castro","Nero","Tennessee",34,"Divorced","Male",2,4,"ABOVE AVG TOLERANCE",1756926.24
1201,"Anderson","Keefe","Oregon",35,"","Male",3,4,"ABOVE AVG TOLERANCE",5622586.56
1225,"Jennings","Cassidy","California",35,"Divorced","Male",3,4,"ABOVE AVG TOLERANCE",1425965
1230,"Stephens","Sarah","Colorado",35,"Single","Male",3,4,"ABOVE AVG TOLERANCE",5011340.62
1231,"Warner","Hermione","Georgia",35,"Married","Male",3,3,"AVERAGE TOLERANCE",6462618.81
1234,"Key","Mohammad","Illinois",35,"Single","",3,4,"ABOVE AVG TOLERANCE",4090844.52
1241,"Morin","Deirdre","Washington",35,"","Female",2,4,"ABOVE AVG TOLERANCE",8916280.68
1242,"Perez","Rashad","Maryland",35,"Married","Female",2,3,"AVERAGE TOLERANCE",9187304.69
